content,clean_content
"Update: the scroll wheels on the time frames and ticker are a great update to the new UI. The older UI was more efficient, please bring back the option to retain it. Any time that a single tap is changed to require more than a single tap, it is a UI failure! There's no point in changing things just for the sake of aesthetics.",update scroll wheels time frames ticker great update new ui older ui efficient please bring back option retain time single tap changed require single tap ui failure point changing things sake aesthetics
"I am aspiring forex trader currently demo trading and this app has been very very useful for me,from the UI to the functionality and available tools, everything is just so well put together,I am able to analyze charts on a mobile phone with virtually the same precision as I would on a laptop,now THAT is impressive . Big props to the developers,as someone else reviewed,a lot of work was put into it and that shows a lot in the app.",aspiring forex trader currently demo trading useful mefrom ui functionality available tools everything well put togetheri able analyze charts mobile phone virtually precision would laptopnow impressive big props developersas someone else revieweda lot work put shows lot
I can honestly say that this app is really helpful and gives alot of free trading signals and indicators. If you want more than a few indicators turned on though you'll have to start paying for it which is 15 a month. Free access still gives you alot and is worth using. If u pay though you'll get to use and apply technical indicators and copy professional analytics. Very clean UI and easy to navigate. Supports dark mode as well. Also very accurate and not lagging at all with the market pulse.,honestly say really helpful gives alot free trading signals indicators want indicators turned though start paying month free access still gives alot worth using pay though get use apply technical indicators copy professional analytics clean ui easy navigate supports dark mode well also accurate lagging market pulse
"I've seen the workaround for it in the responses, but I'm also going to point out the bad UX that is the new popup when you click on a symbol before you get to the full chart from the latest update. It's pointless. Please default it back to going straight to the chart when I click a symbol. Otherwise I of course love TradingView, which I still think is unparalleled.",seen workaround responses also going point bad ux new popup click symbol get full chart latest update pointless please default back going straight chart click symbol otherwise course love tradingview still think unparalleled
"App has been updated, and now works flawlessly on Tab S4. They corrected the issue I had. Back to 5 stars! When you are looking at a stock chart, everything is fine. but when you tap on the stock ticker name at the top left corner so you can choose a different ticker to look at, the screen rotates to portrait even though the tablet is landscape. This is super wonky and seems unfinished. cant rate higher due to this. If this gets fixed i will change my rating. Thanks! - Samsung Galaxy Tab S4",updated works flawlessly tab corrected issue back stars looking stock chart everything fine tap stock ticker name top left corner choose different ticker look screen rotates portrait even though tablet landscape super wonky seems unfinished rate higher due gets fixed change rating thanks samsung galaxy tab
"Update - the latest response is what I was looking for, thanks! Recent update - click on a watchlist symbol, and a one month line chart opens. Then I have to click on the maximize on the far right to get to my saved layout with candles and indicators. Why did this change? Really annoying Response is that it's a ""quick overview""? What is this, yahoo finance? No one uses this app for that... It's a charting tool, stick with what you do good. Please change it or make it a setting choice.",update latest response looking thanks recent update click watchlist symbol one month line chart opens click maximize far right get saved layout candles indicators change really annoying response quick overview yahoo finance one uses charting tool stick good please change make setting choice
"Now lists have a terrible pop up, you can't just click on the chart to see it. You getba pop up that should be available from chart settings, makes app feel chunky and not fluid. Magnet and drawing lines are hard to do with fingers in the way, there needs to be a way to use tools and move them without fingers being in the way. The tap hold for crosshairs can be used for this because you can move it around without needing the fingers in the way. I use it to show ppl where my eyes are looking.",lists terrible pop click chart see getba pop available chart settings makes feel chunky fluid magnet drawing lines hard fingers way needs way use tools move without fingers way tap hold crosshairs used move around without needing fingers way use show people eyes looking
"Super super good! The cellphone touch interface is brilliant! Tons of data of course. Indicators are easy to add to the charts. Zooming in and zooming out are extremely intuitive and fast. Data is easy to see on a cellphone. As I get better at trading, I'll be getting a subscription. Update: Bought the Black Friday special. Now I can set more alerts. An alert woke me up at 5 a.m. and I bought Bitcoin. An alert woke me back up at 7 a.m. and I sold. In less than 12 hours I made my money back +.",super super good cellphone touch interface brilliant tons data course indicators easy add charts zooming zooming extremely intuitive fast data easy see cellphone get better trading getting subscription update bought black friday special set alerts alert woke bought bitcoin alert woke back sold less hours made money back
"Really digging it so far. Still has a number of visual glitches, the screen zooms either impossibly out or impossibly close. Also when scrolling/zooming, the viewport indicators move out of sync sometimes. Have to turn on and off indicators to fix usually. Considering all the scripts are built by community, it's to be expected. Just started basic payed version so will see how it goes.",really digging far still number visual glitches screen zooms either impossibly impossibly close also scrollingzooming viewport indicators move sync sometimes turn indicators fix usually considering scripts built community expected started basic payed version see goes
"The mobile app needs some optimization to account for reduced screen size. The app and service itself is excellent. Well worth the money. The tablet app, of course, is easier to use because of the increased screen real estate. Could use a tutorial for features, gestures, and how to navigate the app. For example, I have no idea how to find my alerts in this thing.",mobile needs optimization account reduced screen size service excellent well worth money tablet course easier use increased screen real estate could use tutorial features gestures navigate example idea find alerts thing
