content,clean_content,kmeans_cluster,pca_x,pca_y,hdbscan_cluster
"Update: the scroll wheels on the time frames and ticker are a great update to the new UI. The older UI was more efficient, please bring back the option to retain it. Any time that a single tap is changed to require more than a single tap, it is a UI failure! There's no point in changing things just for the sake of aesthetics.",update scroll wheels time frames ticker great update new ui older ui efficient please bring back option retain time single tap changed require single tap ui failure point changing things sake aesthetics,3,-0.10767591,-0.057648525,-1
"I am aspiring forex trader currently demo trading and this app has been very very useful for me,from the UI to the functionality and available tools, everything is just so well put together,I am able to analyze charts on a mobile phone with virtually the same precision as I would on a laptop,now THAT is impressive . Big props to the developers,as someone else reviewed,a lot of work was put into it and that shows a lot in the app.",aspiring forex trader currently demo trading useful mefrom ui functionality available tools everything well put togetheri able analyze charts mobile phone virtually precision would laptopnow impressive big props developersas someone else revieweda lot work put shows lot,0,0.48857147,-0.062043767,1
I can honestly say that this app is really helpful and gives alot of free trading signals and indicators. If you want more than a few indicators turned on though you'll have to start paying for it which is 15 a month. Free access still gives you alot and is worth using. If u pay though you'll get to use and apply technical indicators and copy professional analytics. Very clean UI and easy to navigate. Supports dark mode as well. Also very accurate and not lagging at all with the market pulse.,honestly say really helpful gives alot free trading signals indicators want indicators turned though start paying month free access still gives alot worth using pay though get use apply technical indicators copy professional analytics clean ui easy navigate supports dark mode well also accurate lagging market pulse,0,0.449643,0.010900694,1
"I've seen the workaround for it in the responses, but I'm also going to point out the bad UX that is the new popup when you click on a symbol before you get to the full chart from the latest update. It's pointless. Please default it back to going straight to the chart when I click a symbol. Otherwise I of course love TradingView, which I still think is unparalleled.",seen workaround responses also going point bad ux new popup click symbol get full chart latest update pointless please default back going straight chart click symbol otherwise course love tradingview still think unparalleled,3,-0.08454699,-0.31717178,-1
"App has been updated, and now works flawlessly on Tab S4. They corrected the issue I had. Back to 5 stars! When you are looking at a stock chart, everything is fine. but when you tap on the stock ticker name at the top left corner so you can choose a different ticker to look at, the screen rotates to portrait even though the tablet is landscape. This is super wonky and seems unfinished. cant rate higher due to this. If this gets fixed i will change my rating. Thanks! - Samsung Galaxy Tab S4",updated works flawlessly tab corrected issue back stars looking stock chart everything fine tap stock ticker name top left corner choose different ticker look screen rotates portrait even though tablet landscape super wonky seems unfinished rate higher due gets fixed change rating thanks samsung galaxy tab,1,-0.24087527,-0.020759728,-1
"Update - the latest response is what I was looking for, thanks! Recent update - click on a watchlist symbol, and a one month line chart opens. Then I have to click on the maximize on the far right to get to my saved layout with candles and indicators. Why did this change? Really annoying Response is that it's a ""quick overview""? What is this, yahoo finance? No one uses this app for that... It's a charting tool, stick with what you do good. Please change it or make it a setting choice.",update latest response looking thanks recent update click watchlist symbol one month line chart opens click maximize far right get saved layout candles indicators change really annoying response quick overview yahoo finance one uses charting tool stick good please change make setting choice,3,-0.055399105,-0.44291818,-1
"Now lists have a terrible pop up, you can't just click on the chart to see it. You getba pop up that should be available from chart settings, makes app feel chunky and not fluid. Magnet and drawing lines are hard to do with fingers in the way, there needs to be a way to use tools and move them without fingers being in the way. The tap hold for crosshairs can be used for this because you can move it around without needing the fingers in the way. I use it to show ppl where my eyes are looking.",lists terrible pop click chart see getba pop available chart settings makes feel chunky fluid magnet drawing lines hard fingers way needs way use tools move without fingers way tap hold crosshairs used move around without needing fingers way use show people eyes looking,3,-0.03433099,-0.08415876,-1
"Super super good! The cellphone touch interface is brilliant! Tons of data of course. Indicators are easy to add to the charts. Zooming in and zooming out are extremely intuitive and fast. Data is easy to see on a cellphone. As I get better at trading, I'll be getting a subscription. Update: Bought the Black Friday special. Now I can set more alerts. An alert woke me up at 5 a.m. and I bought Bitcoin. An alert woke me back up at 7 a.m. and I sold. In less than 12 hours I made my money back +.",super super good cellphone touch interface brilliant tons data course indicators easy add charts zooming zooming extremely intuitive fast data easy see cellphone get better trading getting subscription update bought black friday special set alerts alert woke bought bitcoin alert woke back sold less hours made money back,2,0.35778514,0.20280506,-1
"Really digging it so far. Still has a number of visual glitches, the screen zooms either impossibly out or impossibly close. Also when scrolling/zooming, the viewport indicators move out of sync sometimes. Have to turn on and off indicators to fix usually. Considering all the scripts are built by community, it's to be expected. Just started basic payed version so will see how it goes.",really digging far still number visual glitches screen zooms either impossibly impossibly close also scrollingzooming viewport indicators move sync sometimes turn indicators fix usually considering scripts built community expected started basic payed version see goes,1,-0.16755266,0.20635326,3
"The mobile app needs some optimization to account for reduced screen size. The app and service itself is excellent. Well worth the money. The tablet app, of course, is easier to use because of the increased screen real estate. Could use a tutorial for features, gestures, and how to navigate the app. For example, I have no idea how to find my alerts in this thing.",mobile needs optimization account reduced screen size service excellent well worth money tablet course easier use increased screen real estate could use tutorial features gestures navigate example idea find alerts thing,2,0.18597905,0.4627624,-1
"Best charting platform available! It can be difficult to create drawings using a phone, but that is just due to a smaller screen and large fingers. I imagine this would work really well on a tablet and/or with a stylus. I think the app is well done, I have no issues, and it syncs seamlessly with TradingView accounts via cloud. Great interface too, nearly all the same features available on the desktop browser version. Highly recommend!",best charting platform available difficult create drawings using phone due smaller screen large fingers imagine would work really well tablet andor stylus think well done issues syncs seamlessly tradingview accounts via cloud great interface nearly features available desktop browser version highly recommend,0,0.3918181,-0.2754921,-1
"Fantastic App! The charting functionality is truly top notch. One feature I'd like to see in the app that's available in the browser is the ability to move/copy symbols between watchlists. Also, as another reviewer mentioned, the app doesn't always reflect changes I've made in the browser earlier in the day. I've had that happen a few times now. But overall, this is the best charting app by far!",fantastic charting functionality truly top notch one feature would like see available browser ability movecopy symbols watchlists also another reviewer mentioned always reflect changes made browser earlier day happen times overall best charting far,0,0.21899708,-0.26780316,-1
"I have only used the mobile version for a short time thus far, but the web version is the best charting software that I've used, with so many tools to use on the data and so many viewing options, and thus far, the mobile version keeps up that tradition. Excellent app! (Update: It's over 2 years later and I'm still using and enjoying TradingView!)",used mobile version short time thus far web version best charting software used many tools use data many viewing options thus far mobile version keeps tradition excellent update years later still using enjoying tradingview,0,0.41945577,-0.23950228,-1
"I use it almost every day. Easy to use, clear and unambiguous charting. Built-in indicators, community designed and scripting interface for creating your own. Configurable alerts keep you on top of your profit strategies. Real time data from all markets available. Top performance requires fairly up to date hardware. As with everything, you can't expect top performance from a fossil.",use almost every day easy use clear unambiguous charting builtin indicators community designed scripting interface creating configurable alerts keep top profit strategies real time data markets available top performance requires fairly date hardware everything expect top performance fossil,0,0.44730297,-0.116648905,1
There's only one thing I hope you guys add. And that's the option to see a zoomed-in window when you're adding something like a trend line when you're trading on mobile. Imagine you are trying to get the precise point but you can't really see it because you're zoomed out. Have a small separate window to give us accuracy. Kinda like mt4 mobile,one thing hope guys add option see zoomedin window adding something like trend line trading mobile imagine trying get precise point really see zoomed small separate window give us accuracy kind like mt mobile,0,0.18639106,-0.1529639,-1
"Edit: Fixed with update. Thank you... Favorite time frames... What is the point of having favorite time frames if I don't have easy access to them? What kind of dumb design is this? The favorite time frames used to be on the top so I can easy access them with one click. Now I have to click on the bottom to change it?? Why? On my iPhone, I'm able to scroll on the bottom to switch between favorite TF which makes sense. The android UI is horrible. I won't renew premium this year. Awful design",edit fixed update thank favorite time frames point favorite time frames easy access kind dumb design favorite time frames used top easy access one click click bottom change iphone able scroll bottom switch favorite tf makes sense android ui horrible renew premium year awful design,1,-0.17530766,0.1614168,3
"The desktop version is fantastic. However, if I leave the screen open in idle for more than 10 seconds on the app it freezes and I have to hard reset my phone. It's happened 8 times. Basically useless on my phone, so I'm forced to use it on my laptop, which defeats the purpose. This is my only negative about this app *Update: with the new app updates, the problem no longer exists. Everything works great now",desktop version fantastic however leave screen open idle seconds freezes hard reset phone happened times basically useless phone forced use laptop defeats purpose negative update new updates problem longer exists everything works great,1,-0.23643151,0.3605177,-1
"Love this app. Gave the new chart a chance (used it for a few weeks) but had to go back to the old chart as it was much quicker to maneuver between timeframes, chart types and indicators using the old chart. Good attempt though. New chart UI looks prettier than the old but it's annoying to click multiple times to select a feature that I can just click once at the top of the old chart.",love gave new chart chance used weeks go back old chart much quicker maneuver timeframes chart types indicators using old chart good attempt though new chart ui looks prettier old annoying click multiple times select feature click top old chart,3,-0.12173301,-0.4125705,-1
"Changing the text, box, and line colors automatically when we switch between dark and light mode is what I consider as a huge update. Just add 2 different settings for light and dark mode and boom. It's done! Please add the ""exclude from image share"" option for every object. For instance, i want to share my chart without hiding some of my objects. Thank you!",changing text box line colors automatically switch dark light mode consider huge update add different settings light dark mode boom done please add exclude image share option every object instance want share chart without hiding objects thank,3,-0.09927771,-0.28748396,-1
"Great to have access to charts in a more functional form than going through a mobile browser. Really needs a manual refresh button though. Recent update makes it where I have to click multiple times to get the real chart instead of once. Now first click goes to line chat. No good TV, I don't come here for simple lines. Update: TV responded quickly and told me how to fix this. Back to 5*",great access charts functional form going mobile browser really needs manual refresh button though recent update makes click multiple times get real chart instead first click goes line chat good tv come simple lines update tv responded quickly told fix back,3,-0.22512788,-0.17783175,0
"Absolute best charts and timeline. So detailed. I can't explain. Exactly what I was looking for after trying many other apps. If you are looking for patterns, specific times of any day, any range... This is it. No guessing. Editing to add that the paid version is well worth the $$. Time is money. Hooked on the crypto setups. Ty!",absolute best charts timeline detailed explain exactly looking trying many apps looking patterns specific times day range guessing editing add paid version well worth time money hooked crypto setups ty,0,0.31038338,-0.1931723,-1
